"cntyvtd","romney","obama","pct_obama","pct_romney","votes_2012","trump","clinton","pct_trump","pct_clinton","votes_2016","pct_latino"
"0292094",91,30,0.241935483870968,0.733870967741935,124,78,63,0.513157894736842,0.414473684210526,152,0.087719298245614
"0292095",1032,494,0.31686978832585,0.661962796664529,1559,1028,720,0.546517809675704,0.382775119617225,1881,0.35228002569043
"0292096",356,468,0.54994124559342,0.418331374853114,851,357,701,0.301011804384486,0.59106239460371,1186,0.497839005942734
"0292097",492,719,0.57890499194847,0.396135265700483,1242,463,773,0.346556886227545,0.578592814371258,1336,0.638201226436521
"0292098",225,356,0.599326599326599,0.378787878787879,594,224,415,0.318181818181818,0.589488636363636,704,0.789770723104056
"0292099",433,331,0.421119592875318,0.55089058524173,786,402,449,0.437431991294886,0.488574537540805,919,0.461320372620494
"0292100",217,379,0.614262560777958,0.351701782820097,617,205,402,0.316358024691358,0.62037037037037,648,0.789275240888144
"0292101",1503,1158,0.426362297496318,0.553387334315169,2716,1431,1475,0.455732484076433,0.469745222929936,3140,0.499004232013941
"0292102",714,739,0.497978436657682,0.481132075471698,1484,695,829,0.427955665024631,0.510467980295567,1624,0.509954871250332
"0292103",16,78,0.8125,0.166666666666667,96,10,98,0.0869565217391304,0.852173913043478,115,0.937597503900156
"0292104",11,87,0.887755102040816,0.112244897959184,98,14,103,0.112,0.824,125,0.896686159844055
"0292106",77,161,0.657142857142857,0.314285714285714,245,75,170,0.283018867924528,0.641509433962264,265,0.704485488126649
"0292107",82,121,0.576190476190476,0.39047619047619,210,77,126,0.35981308411215,0.588785046728972,214,0.767503302509908
"0292108",449,279,0.375,0.603494623655914,744,403,315,0.520671834625323,0.406976744186047,774,0.377358490566038
"0292110",315,375,0.524475524475524,0.440559440559441,715,300,402,0.399467376830892,0.535286284953395,751,0.715162138475022
"0292111",159,295,0.628997867803838,0.339019189765458,469,169,349,0.310091743119266,0.640366972477064,545,0.754062038404727
"0292112",431,564,0.558969276511397,0.427155599603568,1009,396,555,0.389763779527559,0.546259842519685,1016,0.585669781931464
"0292113",10,24,0.705882352941177,0.294117647058824,34,15,16,0.454545454545455,0.484848484848485,33,0.616438356164384
"0292114",368,608,0.604373757455268,0.365805168986084,1006,368,730,0.313993174061433,0.622866894197952,1172,0.739749430523918
"0292117",38,188,0.8068669527897,0.163090128755365,233,51,219,0.182142857142857,0.782142857142857,280,0.937853107344633
